id_x,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id_y,company_rating,company_location,total_fleet_count,iata_approved
45163,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,False,False,1715.0,32413,45163,91.0,10.0,9.0,9.0,9.0,9.0,9.0,26,0.77,32413,1.0,Faroe Islands,1.0,False
49438,Wallis and Futuna,Type V2,Plasma,ThetaBase Services,3.0,5,moderate,3.0,False,False,3405.0,14122,49438,96.0,10.0,10.0,10.0,10.0,10.0,9.0,61,0.62,14122,1.0,Malta,1.0,True
10750,Niue,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1806.0,47761,10750,97.0,10.0,10.0,10.0,10.0,10.0,10.0,467,4.66,47761,1.0,Niue,2.0,False
4146,Malta,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1676.0,26648,4146,95.0,10.0,10.0,10.0,10.0,9.0,9.0,318,3.22,26648,1.0,Niue,2.0,True
5067,Malta,Type V2,Plasma,ThetaBase Services,5.0,10,strict,5.0,False,False,4718.0,26648,5067,97.0,10.0,9.0,10.0,10.0,9.0,10.0,22,0.29,26648,1.0,Niue,2.0,True
14891,Faroe Islands,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,False,False,2950.0,24304,14891,93.0,9.0,8.0,10.0,9.0,9.0,9.0,15,0.19,24304,1.0,Micronesia,1.0,True
5689,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1975.0,42867,5689,92.0,9.0,10.0,9.0,10.0,10.0,9.0,75,0.79,42867,1.0,Indonesia,2.0,True
75321,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1455.0,47761,75321,97.0,10.0,10.0,10.0,10.0,9.0,10.0,450,4.5,47761,1.0,Niue,2.0,False
25733,Malta,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1338.0,11275,25733,94.0,10.0,9.0,10.0,10.0,9.0,9.0,168,2.55,11275,1.0,Brazil,3.0,True
38733,Bouvet Island (Bouvetoya),Type V5,Quantum,Warwick Technology Multinational,1.0,2,strict,1.0,False,False,1455.0,21747,38733,88.0,10.0,8.0,9.0,9.0,9.0,9.0,38,0.41,21747,0.67,Gambia,1.0,True
18221,Barbados,Type V5,Quantum,ThetaBase Services,0.0,1,moderate,1.0,False,False,1845.0,42114,18221,95.0,9.0,10.0,10.0,10.0,10.0,9.0,184,1.9,42114,1.0,Sao Tome and Principe,3.0,True
18590,Anguilla,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1169.0,29416,18590,95.0,10.0,9.0,10.0,10.0,9.0,10.0,172,1.91,29416,1.0,Anguilla,1.0,False
19813,Rwanda,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,True,False,2625.0,37646,19813,72.0,7.0,8.0,8.0,8.0,9.0,8.0,10,0.15,37646,1.0,Estonia,60.0,False
74856,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,1975.0,21836,74856,95.0,9.0,10.0,10.0,10.0,9.0,9.0,176,1.95,21836,1.0,Mauritania,3.0,False
